Sexo;Edad;Periodo;Total
Total;Todas las edades;2072;52.886.369,803402
Total;Todas las edades;2071;52.843.554,692793
Total;Todas las edades;2070;52.809.199,270674
Total;Todas las edades;2069;52.783.141,423398
Total;Todas las edades;2068;52.765.081,231495
Total;Todas las edades;2067;52.754.632,504421
Total;Todas las edades;2066;52.751.175,375604
Total;Todas las edades;2065;52.754.139,469767
Total;Todas las edades;2064;52.762.777,808869
Total;Todas las edades;2063;52.776.069,754517
Total;Todas las edades;2062;52.793.171,219524
Total;Todas las edades;2061;52.813.109,247141
Total;Todas las edades;2060;52.834.811,391389
Total;Todas las edades;2059;52.856.958,090138
Total;Todas las edades;2058;52.878.224,909499
Total;Todas las edades;2057;52.897.208,980285
Total;Todas las edades;2056;52.912.450,506217
Total;Todas las edades;2055;52.922.724,956039
Total;Todas las edades;2054;52.926.772,162294
Total;Todas las edades;2053;52.923.530,200606
Total;Todas las edades;2052;52.911.963,757426
Total;Todas las edades;2051;52.891.206,868777
Total;Todas las edades;2050;52.860.818,041462
Total;Todas las edades;2049;52.820.523,315562
Total;Todas las edades;2048;52.770.064,347654
Total;Todas las edades;2047;52.709.245,330119
Total;Todas las edades;2046;52.638.481,937458
Total;Todas las edades;2045;52.558.328,464034
Total;Todas las edades;2044;52.469.220,286567
Total;Todas las edades;2043;52.371.937,67695
Total;Todas las edades;2042;52.267.236,80226
Total;Todas las edades;2041;52.156.326,027559
Total;Todas las edades;2040;52.040.306,114026
Total;Todas las edades;2039;51.919.499,619139
Total;Todas las edades;2038;51.795.514,168843
Total;Todas las edades;2037;51.669.140,414939
Total;Todas las edades;2036;51.540.953,120023
Total;Todas las edades;2035;51.397.897,851242
Total;Todas las edades;2034;51.231.673,121938
Total;Todas las edades;2033;51.038.408,437945
Total;Todas las edades;2032;50.818.638,054777
Total;Todas las edades;2031;50.571.688,633801
Total;Todas las edades;2030;50.297.957,499406
Total;Todas las edades;2029;49.996.160,315615
Total;Todas las edades;2028;49.669.416,468719
Total;Todas las edades;2027;49.321.596,890418
Total;Todas las edades;2026;48.954.761,722429
Total;Todas las edades;2025;48.574.152,092881
Total;Todas las edades;2024;48.186.420,95798
Total;Todas las edades;2023;47.795.624,788453
Total;Todas las edades;2022;47.432.805,023294
Total;0 años;2072;396.911,159843
Total;0 años;2071;394.646,800163
Total;0 años;2070;392.144,915615
Total;0 años;2069;389.445,044083
Total;0 años;2068;386.592,945196
Total;0 años;2067;383.642,137309
Total;0 años;2066;380.649,696103
Total;0 años;2065;377.681,980216
Total;0 años;2064;374.814,747472
Total;0 años;2063;372.140,119844
Total;0 años;2062;369.759,81768
Total;0 años;2061;367.775,197572
Total;0 años;2060;366.295,543762
Total;0 años;2059;365.427,68829
Total;0 años;2058;365.245,610405
Total;0 años;2057;365.798,77342
Total;0 años;2056;367.108,311607
Total;0 años;2055;369.166,612715
Total;0 años;2054;371.930,087903
Total;0 años;2053;375.298,176698
Total;0 años;2052;379.150,963116
Total;0 años;2051;383.342,770322
Total;0 años;2050;387.735,732865
Total;0 años;2049;392.168,169741
Total;0 años;2048;396.479,515665
Total;0 años;2047;400.513,375184
Total;0 años;2046;404.092,477088
Total;0 años;2045;407.057,473484
Total;0 años;2044;409.315,166146
Total;0 años;2043;410.754,733016
Total;0 años;2042;411.287,158581
Total;0 años;2041;410.953,257822
Total;0 años;2040;409.811,597352
Total;0 años;2039;407.970,594726
Total;0 años;2038;405.546,460825
Total;0 años;2037;402.713,570427
Total;0 años;2036;397.962,329338
Total;0 años;2035;392.882,107402
Total;0 años;2034;387.496,129185
Total;0 años;2033;381.920,35271
Total;0 años;2032;376.304,545263
Total;0 años;2031;370.703,831165
Total;0 años;2030;365.182,669328
Total;0 años;2029;359.777,090362
Total;0 años;2028;354.576,608885
Total;0 años;2027;349.667,781247
Total;0 años;2026;345.170,194073
Total;0 años;2025;341.287,93393
Total;0 años;2024;338.219,687778
Total;0 años;2023;336.156,335818
Total;0 años;2022;336.996
Total;1 año;2072;399.765,591372
Total;1 año;2071;397.253,188811
Total;1 año;2070;394.543,438547
Total;1 año;2069;391.681,985138
Total;1 año;2068;388.722,183486
Total;1 año;2067;385.720,996666
Total;1 año;2066;382.744,575054
Total;1 año;2065;379.868,457323
Total;1 año;2064;377.184,475762
Total;1 año;2063;374.794,011879
Total;1 año;2062;372.798,092666
Total;1 año;2061;371.305,609488
Total;1 año;2060;370.423,096048
Total;1 año;2059;370.224,292867
Total;1 año;2058;370.758,545107
Total;1 año;2057;372.046,96502
Total;1 año;2056;374.082,010686
Total;1 año;2055;376.820,285398
Total;1 año;2054;380.161,561778
Total;1 año;2053;383.986,346328
Total;1 año;2052;388.149,380515
Total;1 año;2051;392.513,174979
Total;1 año;2050;396.916,466059
Total;1 año;2049;401.199,077737
Total;1 año;2048;405.204,972772
Total;1 año;2047;408.757,243076
Total;1 año;2046;411.696,889234
Total;1 año;2045;413.930,803981
Total;1 año;2044;415.348,340817
Total;1 año;2043;415.860,618584
Total;1 año;2042;415.508,237929
Total;1 año;2041;414.349,569663
Total;1 año;2040;412.492,728367
Total;1 año;2039;410.053,678752
Total;1 año;2038;407.206,394933
Total;1 año;2037;402.445,121615
Total;1 año;2036;397.621,081659
Total;1 año;2035;392.651,211858
Total;1 año;2034;387.571,477341
Total;1 año;2033;382.451,545242
Total;1 año;2032;377.366,389855
Total;1 año;2031;372.360,292092
Total;1 año;2030;367.495,818552
Total;1 año;2029;362.775,515841
Total;1 año;2028;358.272,030849
Total;1 año;2027;354.123,849919
Total;1 año;2026;350.452,886416
Total;1 año;2025;347.417,558943
Total;1 año;2024;345.261,708522
Total;1 año;2023;345.906,354255
Total;1 año;2022;345.229
Total;2 años;2072;402.274,787957
Total;2 años;2071;399.556,512746
Total;2 años;2070;396.687,024157
Total;2 años;2069;393.719,52549
Total;2 años;2068;390.710,796417
Total;2 años;2067;387.726,837191
Total;2 años;2066;384.842,934689
Total;2 años;2065;382.150,63084
Total;2 años;2064;379.750,973555
Total;2 años;2063;377.744,644537
Total;2 años;2062;376.240,16758
Total;2 años;2061;375.343,6938
Total;2 años;2060;375.128,781425
Total;2 años;2059;375.644,630109
Total;2 años;2058;376.912,344679
Total;2 años;2057;378.924,477904
Total;2 años;2056;381.637,84667
Total;2 años;2055;384.952,631633
Total;2 años;2054;388.749,753168
Total;2 años;2053;392.884,478964
Total;2 años;2052;397.219,715948
Total;2 años;2051;401.594,65556
Total;2 años;2050;405.849,532225
Total;2 años;2049;409.828,677211
Total;2 años;2048;413.355,596618
Total;2 años;2047;416.271,58032
Total;2 años;2046;418.483,646213
Total;2 años;2045;419.881,275254
Total;2 años;2044;420.375,676213
Total;2 años;2043;420.007,170722
Total;2 años;2042;418.833,84931
Total;2 años;2041;416.963,465214
Total;2 años;2040;414.511,659216
Total;2 años;2039;411.651,987328
Total;2 años;2038;406.882,5389
Total;2 años;2037;402.046,753698
Total;2 años;2036;397.325,508259
Total;2 años;2035;392.649,738262
Total;2 años;2034;388.010,253984
Total;2 años;2033;383.402,825241
Total;2 años;2032;378.890,969639
Total;2 años;2031;374.517,060069
Total;2 años;2030;370.310,483197
Total;2 años;2029;366.259,276056
Total;2 años;2028;362.488,619344
Total;2 años;2027;359.141,362232
Total;2 años;2026;356.298,730984
Total;2 años;2025;354.166,365582
Total;2 años;2024;354.745,001828
Total;2 años;2023;354.013,363767
Total;2 años;2022;366.740
Total;3 años;2072;404.275,381313
Total;3 años;2071;401.400,387273
Total;3 años;2070;398.427,677458
Total;3 años;2069;395.413,843735
Total;3 años;2068;392.424,640352
Total;3 años;2067;389.535,145948
Total;3 años;2066;386.836,549385
Total;3 años;2065;384.429,531327
Total;3 años;2064;382.414,406641
Total;3 años;2063;380.899,283757
