Year,Pop_G4,Pop_G3,Pop_G2,Pop_G1,Contributors,Beneficiaries,PAYG_Contributions,PAYG_Costs,Capitalized_Contributions,Capitalized_Accumulated,Capitalized_Payouts,GDP,Pension_to_GDP,Fiscal_Balance
2025,9583153.401912,7610134.875444001,10351003.545805,21009295.187726,17961138.421249002,21009295.187726,37718390684.62291,346653370597.479,37718390684.62291,37718390684.62291,346653370597.479,1500000000000.0,23.1102247064986,-308934979912.8561
2026,9545442.808524,7782689.185841,10183799.950299,21420055.828957,17966489.13614,21420055.828957,37729627185.894005,353430921177.7905,37729627185.894005,78465489125.28674,353430921177.7905,1522499999999.9998,23.213853607736656,-315701293991.89655
2027,9494767.883054,7957405.454188,10012325.403484,21831938.910969,17969730.857672,21831938.910969,37736434801.1112,360226992030.9886,37736434801.1112,122479163056.4209,360226992030.9886,1545337499999.9995,23.310570799646595,-322490557229.8774
2028,9425790.439175,8126186.056367,9864705.522472,22225415.009556,17990891.578839,22225415.009556,37780872315.561905,366719347657.674,37780872315.561905,170058368416.4965,366719347657.674,1568517562499.9995,23.379996273243776,-328938475342.1121
2029,9346507.034454,8297426.894715,9718208.406038,22603753.757613,18015635.300752997,22603753.757613,37832834131.5813,372961937000.61456,37832834131.5813,221495872021.39752,372961937000.61456,1592045325937.4995,23.426590369277985,-335129102869.03326
2030,9242995.680075,8485078.26018,9591834.051541,22945065.11784,18076912.311721,22945065.11784,37961515854.614105,378593574444.36,37961515854.614105,277177057637.72345,378593574444.36,1615926005826.5618,23.428892974013728,-340632058589.74585
2031,9158787.254559001,8634044.388994,9482453.590154,23260039.991043,18116497.979148,23260039.991043,38044645756.2108,383790659852.20953,38044645756.2108,337395868004.95215,383790659852.20953,1640164895913.96,23.39951676860803,-345746014095.9987
2032,9079494.597411,8754974.738004,9405206.048922,23539754.60583,18160180.786926,23539754.60583,38136379652.54461,388405950996.19507,38136379652.54461,402523917097.89294,388405950996.19507,1664767369352.6694,23.330944499904717,-350269571343.65045
2033,9000608.111859,8849126.122752,9359321.297151,23786693.438104,18208447.419903,23786693.438104,38237739581.7963,392480441728.716,38237739581.7963,472963570047.52075,392480441728.716,1689738879892.9592,23.227283599793754,-354242702146.9197
2034,8935209.20616,8912623.532336,9340776.470114,23997243.833461,18253400.00245,23997243.833461,38332140005.145004,395954523252.10657,38332140005.145004,549132795656.46747,395954523252.10657,1715084963091.3533,23.08658356717318,-357622383246.96155
